Date,Time,Date_Time,pp_CO2
4/12/2018,0:05:00,4/12/2018 0:05,1024.115455
4/12/2018,1:05:00,4/12/2018 1:05,1021.824272
4/12/2018,2:05:00,4/12/2018 2:05,1018.891731
4/12/2018,3:05:00,4/12/2018 3:05,1016.574322
4/12/2018,4:05:00,4/12/2018 4:05,1013.008386
4/12/2018,5:05:00,4/12/2018 5:05,1008.224566
4/12/2018,6:05:00,4/12/2018 6:05,1006.590329
4/12/2018,7:05:00,4/12/2018 7:05,1006.101897
4/12/2018,8:05:00,4/12/2018 8:05,1005.22873
4/12/2018,9:05:00,4/12/2018 9:05,1004.509216
4/12/2018,10:05:00,4/12/2018 10:05,1002.542844
4/12/2018,11:05:00,4/12/2018 11:05,1001.33424
4/12/2018,12:05:00,4/12/2018 12:05,998.4680843
4/12/2018,13:05:00,4/12/2018 13:05,994.1120392
4/12/2018,14:05:00,4/12/2018 14:05,990.3350829
4/12/2018,15:05:00,4/12/2018 15:05,992.7341933
4/12/2018,16:05:00,4/12/2018 16:05,992.7400714
4/12/2018,17:05:00,4/12/2018 17:05,991.5463265
4/12/2018,18:05:00,4/12/2018 18:05,990.2088902
4/12/2018,19:05:00,4/12/2018 19:05,991.150953
4/12/2018,20:05:00,4/12/2018 20:05,990.4084426
4/12/2018,21:05:00,4/12/2018 21:05,989.7050212
4/12/2018,22:05:00,4/12/2018 22:05,987.9235065
4/12/2018,23:05:00,4/12/2018 23:05,987.2228728
4/13/2018,0:05:00,4/13/2018 0:05,986.2292073
4/13/2018,1:05:00,4/13/2018 1:05,986.0439622
4/13/2018,2:05:00,4/13/2018 2:05,985.9045847
4/13/2018,3:05:00,4/13/2018 3:05,985.8327971
4/13/2018,4:05:00,4/13/2018 4:05,985.8385991
4/13/2018,5:05:00,4/13/2018 5:05,985.5469922
4/13/2018,6:05:00,4/13/2018 6:05,984.6612606
4/13/2018,7:05:00,4/13/2018 7:05,980.9273958
4/13/2018,8:05:00,4/13/2018 8:05,980.9756519
4/13/2018,9:05:00,4/13/2018 9:05,979.6128174
4/13/2018,10:05:00,4/13/2018 10:05,978.6259233
4/13/2018,11:05:00,4/13/2018 11:05,978.4843163
4/13/2018,12:05:00,4/13/2018 12:05,977.7538139
4/13/2018,13:05:00,4/13/2018 13:05,977.7595263
4/13/2018,14:05:00,4/13/2018 14:05,977.7652401
4/13/2018,15:05:00,4/13/2018 15:05,978.3598954
